finding,school,key1,key2,detail1,detail2,detail3
F2_std_summary_zero_poison,Crestwell School,MA.2.AR.3.2,"",n_ukeys=4,n_missing_cqso=1,avg_shipped=0.7278 avg_correct=0.9704
F2_std_summary_zero_poison,Crestwell School,MA.2.FR.1.2,"",n_ukeys=6,n_missing_cqso=6,
F2_std_summary_zero_poison,Crestwell School,MA.2.GR.1.1,"",n_ukeys=6,n_missing_cqso=2,avg_shipped=0.6061 avg_correct=0.9092
F2_std_summary_zero_poison,Crestwell School,MA.2.GR.1.2,"",n_ukeys=4,n_missing_cqso=2,avg_shipped=0.4724 avg_correct=0.9448
F2_std_summary_zero_poison,Crestwell School,MA.2.M.1.1,"",n_ukeys=18,n_missing_cqso=5,avg_shipped=0.6384 avg_correct=0.8839
F2_std_summary_zero_poison,Crestwell School,MA.2.M.1.2,"",n_ukeys=8,n_missing_cqso=2,avg_shipped=0.6790 avg_correct=0.9054
F2_std_summary_zero_poison,Crestwell School,MA.2.M.1.3,"",n_ukeys=9,n_missing_cqso=2,avg_shipped=0.7189 avg_correct=0.9242
F2_std_summary_zero_poison,Crestwell School,MA.2.M.2.1,"",n_ukeys=14,n_missing_cqso=5,avg_shipped=0.5801 avg_correct=0.9024
F2_std_summary_zero_poison,Crestwell School,MA.2.M.2.2,"",n_ukeys=17,n_missing_cqso=2,avg_shipped=0.6476 avg_correct=0.7340
F2_std_summary_zero_poison,Crestwell School,MA.2.NSO.1.2,"",n_ukeys=5,n_missing_cqso=3,avg_shipped=0.3844 avg_correct=0.9609
F2_std_summary_zero_poison,Crestwell School,MA.2.NSO.1.3,"",n_ukeys=9,n_missing_cqso=3,avg_shipped=0.6024 avg_correct=0.9036
F2_std_summary_zero_poison,Crestwell School,MA.2.NSO.2,"",n_ukeys=78,n_missing_cqso=38,avg_shipped=0.3944 avg_correct=0.7691
F2_std_summary_zero_poison,Crestwell School,MA.2.NSO.2.1,"",n_ukeys=9,n_missing_cqso=1,avg_shipped=0.5947 avg_correct=0.6691
